data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
19/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,13,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,18,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,21,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,32,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
01/04/2020,40,0,1,0,0,0,0,2.5,0,0,0,0,0,0,0
02/04/2020,46,0,1,0,0,0,0,2.17391304347826,0,0,0,0,0,0,0
03/04/2020,50,0,1,0,0,0,0,2.0,0,0,0,0,0,0,0
04/04/2020,80,0,1,0,0,0,0,1.25,0,0,0,0,0,0,0
05/04/2020,86,0,1,0,0,0,0,1.162790697674418,0,0,0,0,0,0,0
06/04/2020,102,0,3,0,0,0,0,2.941176470588235,0,0,0,0,0,0,0
07/04/2020,138,0,5,0,0,0,0,3.623188405797101,0,0,0,0,0,0,0
08/04/2020,167,0,6,0,0,0,0,3.592814371257485,0,0,0,0,0,0,0
09/04/2020,168,0,7,0,0,0,0,4.166666666666666,0,0,0,0,0,0,0
10/04/2020,170,0,9,0,0,0,0,5.294117647058823,0,0,0,0,0,0,0
11/04/2020,217,0,10,0,0,0,0,4.6082949308755765,0,0,0,0,0,0,0
12/04/2020,246,0,13,0,0,0,0,5.284552845528456,0,0,0,0,0,0,0
13/04/2020,270,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,323,0,19,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,384,0,21,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,438,0,24,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,557,0,26,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,640,0,33,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,685,0,34,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,902,0,35,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,1026,0,38,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,1195,0,43,0,0,0,0,0.0,0,0,0,0,0,0,0
