data,cases,cured,deaths,internadosDomiciliar,internadosEnfermaria,internadosUTI,percentual_cured,percentual_deaths,percentual_internados,percentual_internadosDomiciliar,percentual_internadosEnfermaria,percentual_internadosUTI,refuses,suspects,total_internados_DB
08/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
09/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
10/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
11/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
12/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
13/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
14/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
15/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
16/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
17/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
18/03/2020,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
19/03/2020,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
20/03/2020,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
21/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
22/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
23/03/2020,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
24/03/2020,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
25/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
26/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
27/03/2020,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
28/03/2020,14,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
29/03/2020,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
30/03/2020,17,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
31/03/2020,18,0,1,0,0,0,0,5.555555555555555,0,0,0,0,0,0,0
01/04/2020,18,0,1,0,0,0,0,5.555555555555555,0,0,0,0,0,0,0
02/04/2020,18,0,1,0,0,0,0,5.555555555555555,0,0,0,0,0,0,0
03/04/2020,22,0,2,0,0,0,0,9.090909090909092,0,0,0,0,0,0,0
04/04/2020,23,0,2,0,0,0,0,8.695652173913043,0,0,0,0,0,0,0
05/04/2020,28,0,2,0,0,0,0,7.142857142857142,0,0,0,0,0,0,0
06/04/2020,31,0,2,0,0,0,0,6.451612903225806,0,0,0,0,0,0,0
07/04/2020,32,0,2,0,0,0,0,6.25,0,0,0,0,0,0,0
08/04/2020,37,0,2,0,0,0,0,5.405405405405405,0,0,0,0,0,0,0
09/04/2020,37,0,3,0,0,0,0,8.108108108108109,0,0,0,0,0,0,0
10/04/2020,45,0,3,0,0,0,0,6.666666666666667,0,0,0,0,0,0,0
11/04/2020,48,0,3,0,0,0,0,6.25,0,0,0,0,0,0,0
12/04/2020,48,0,3,0,0,0,0,6.25,0,0,0,0,0,0,0
13/04/2020,50,0,3,0,0,0,0,0.0,0,0,0,0,0,0,0
14/04/2020,72,0,4,0,0,0,0,0.0,0,0,0,0,0,0,0
15/04/2020,82,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
16/04/2020,89,0,5,0,0,0,0,0.0,0,0,0,0,0,0,0
17/04/2020,110,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0
18/04/2020,132,0,7,0,0,0,0,0.0,0,0,0,0,0,0,0
19/04/2020,159,0,15,0,0,0,0,0.0,0,0,0,0,0,0,0
20/04/2020,171,0,18,0,0,0,0,0.0,0,0,0,0,0,0,0
21/04/2020,210,0,19,0,0,0,0,0.0,0,0,0,0,0,0,0
22/04/2020,243,0,20,0,0,0,0,0.0,0,0,0,0,0,0,0
